OBJECTID,Countyname,ST_Name,ST_Abbr,ST_ID,FIPS,FatalityRa,Confirmedb,DeathsbyPo,PCTPOVALL_,Unemployme,Med_HH_Inc,State_Fata,DateChecke,EM_type,EM_date,EM_notes,url,Thumbnail,Confirmed,Deaths,Age_85,Age_80_84,Age_75_79,Age_70_74,Age_65_69,Beds_Licen,Beds_Staff,Beds_ICU,Ventilator,POP_ESTIMA,POVALL_201,Unemployed,Median_Hou,Recovered,Active,State_Conf,State_Deat,State_Reco,State_Test,AgedPop,NewCases,NewDeaths,TotalPop,NonHispWhP,BlackPop,AmIndop,AsianPop,PacIslPop,OtherPop,TwoMorPop,HispPop,Wh_Alone,Bk_Alone,AI_Alone,As_Alone,NH_Alone,SO_Alone,Two_More,Not_Hisp,Age_Less15,Age_15_24,Age_25_34,Age_Over75,Agetotal,NonHisp,Age_35_64,Age_65_74,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Shape__Area,Shape__Length
421,Coffee,Georgia,GA,13,13069,1.80467091295117,2185.97,39.4495625739679,23.9,4.5,67.3329,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:19:07 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13069.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,942,17,483,536,1060,1542,2107,88,86,10,3,43093,9505,845,39480,0,0,120572,3026,0,1107967,5728,11,0,42961,25053,12028,44,327,0,200,383,4926,29193,12056,79,327,0,850,456,42961,8741,6313,5878,2079,42961,38035,16301,3649,11,11,12,174,68,7,29,13,4,16,17,16,24,6,2155228632.60742,246321.134230767
422,Colquitt,Georgia,GA,13,13071,1.55159038013964,2827.25,43.8673451482716,23.9,3.8,65.8884,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:24 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13071.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,1289,20,592,768,1383,1727,2234,168,127,16,3,45592,10700,811,38633,0,0,120572,3026,0,1107967,6704,9,0,45606,25653,10416,168,384,9,16,298,8662,29397,10491,246,385,9,4227,851,45606,10104,6063,5829,2743,45606,36944,16906,3961,9,15,38,38,9,31,41,7,16,35,34,24,41,40,1975841418.85352,198652.797737929
423,Columbia,Georgia,GA,13,13073,1.24869927159209,622.85,7.77751132600087,7.1,3.5,140.1644,0,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:19:07 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13073.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,961,12,0,0,0,0,0,0,0,0,0,154291,10858,2609,82184,0,0,0,0,0,1107967,0,109,0,147295,102337,24274,227,5828,0,659,4489,9481,109501,24575,436,5995,0,1742,5046,147295,31073,18880,20365,7051,147295,137814,58271,11655,109,23,46,74,19,35,18,10,25,37,34,26,35,26,1148399152.44531,162607.521382127
424,Cook,Georgia,GA,13,13075,1.61290322580645,1445.05,23.3073068406946,24.5,3.8,66.2193,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:24 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13075.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,248,4,232,321,544,580,988,33,33,6,0,17162,4156,298,38827,0,0,120572,3026,0,1107967,2665,6,0,17184,11148,4711,45,109,0,0,183,988,11861,4723,45,109,0,225,221,17184,3678,2237,2052,1097,17184,16196,6552,1568,6,4,3,30,9,1,13,5,6,15,8,1,14,3,827471864.791016,151789.020705882
425,Coweta,Georgia,GA,13,13077,1.78372352285396,614.96,10.9691219217902,10.2,3.4,121.0458,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:24 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13077.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,897,16,1527,1730,3502,5063,6661,254,250,23,9,145864,14844,2518,70974,0,0,120572,3026,0,1107967,18483,9,0,140516,100370,24512,274,2692,21,201,2884,9562,107831,24730,307,2702,34,1591,3321,140516,28988,18006,17141,6759,140516,130954,57898,11724,9,7,25,35,15,12,7,10,11,12,46,24,17,20,1659639913.84375,204549.45576596
426,Crawford,Georgia,GA,13,13079,0,462.74,0,18.5,4.2,81.8706,0,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:24 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13079.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,57,0,0,0,0,0,0,0,0,0,0,12318,2251,237,48004,0,0,0,0,0,1107967,0,0,0,12344,9068,2978,0,25,0,0,113,160,9181,2978,0,25,0,21,139,12344,2174,1391,1329,754,12344,12184,5264,1432,0,0,0,1,2,0,0,3,1,0,1,4,3,3,1198597657.0625,192140.188455394
427,Crisp,Georgia,GA,13,13081,4.18006430868167,1376.05,57.5195787797,27.4,4.9,61.5616,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:24 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13081.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,311,13,393,454,806,991,1370,73,65,16,3,22601,6063,456,36096,0,0,120572,3026,0,1107967,4014,0,0,22846,11474,9974,0,220,30,8,391,749,12104,9974,0,220,30,85,433,22846,4609,3152,2510,1653,22846,22097,8561,2361,0,2,1,7,1,3,2,3,5,9,2,2,1,2,1012645249.26563,140373.36405719
428,Dade,Georgia,GA,13,13083,1.26582278481013,486.87,6.16294835449279,13.6,3.6,83.1923,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:20:59 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13083.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,79,1,330,285,547,800,977,36,36,6,0,16226,2067,300,48779,0,0,120572,3026,0,1107967,2939,0,0,16227,15216,72,0,181,9,21,368,360,15407,103,0,268,24,37,388,16227,2531,2603,1717,1162,16227,15867,6437,1777,0,0,1,1,0,1,1,1,0,0,6,1,1,1,670959007.332031,130576.648598605
429,Dawson,Georgia,GA,13,13085,1.66666666666667,717.62,11.9602918311207,8.7,3.3,117.3978,0,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:24 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13085.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,180,3,0,0,0,0,0,0,0,0,0,25083,2168,401,68835,0,0,0,0,0,1107967,0,6,0,23861,22085,230,12,148,0,12,332,1042,22979,230,12,148,0,105,387,23861,4077,2797,2715,1563,23861,22819,9613,3096,6,1,3,3,5,3,6,0,0,5,2,2,3,5,818894722.523438,156869.83855953
430,Decatur,Georgia,GA,13,13087,2.51572327044025,1196.61,30.1034807149577,23.2,4.7,65.5609,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:24 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13087.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,318,8,378,718,714,1225,1186,80,80,10,2,26575,5923,539,38441,0,0,120572,3026,0,1107967,4221,6,0,26833,13555,11160,19,90,0,250,182,1577,14060,11165,19,90,0,1295,204,26833,5473,3563,3426,1810,26833,25256,10150,2411,6,2,9,19,11,3,3,-3,2,4,1,8,0,3,2198346835.21289,205986.74780703
431,DeKalb,Georgia,GA,13,13089,2.11185889997679,1139.11,24.0563182201497,14.3,4,108.2597,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:24 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13089.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,8618,182,9495,8810,13700,21312,32254,2368,1981,307,36,756558,106598,16073,63477,0,0,120572,3026,0,1107967,85571,365,1,743187,216221,396854,1361,45140,260,2663,16952,63736,256546,401085,5661,45322,269,13542,20762,743187,148059,91709,124266,32005,743187,679451,293582,53566,365,109,171,501,110,204,108,145,216,308,209,213,118,372,1019339182.21484,151390.321590234
432,Dodge,Georgia,GA,13,13091,1.41843971631206,680.99,9.65950253561942,26.5,5.2,60.777,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:19:07 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13091.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,141,2,313,497,638,945,1147,94,40,6,2,20705,4988,372,35636,0,0,120572,3026,0,1107967,3540,0,0,20919,13660,5868,2,79,0,0,586,724,14102,5868,2,79,0,282,586,20919,3472,2519,2703,1448,20919,20195,8685,2092,0,3,2,5,4,5,9,0,0,0,6,3,4,4,1821591723.85742,242970.87204851
433,Dooly,Georgia,GA,13,13093,5.80357142857143,1634.32,94.8489712534656,29.1,4.6,63.5774,0,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:24 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13093.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,224,13,0,0,0,0,0,0,0,0,0,13706,3420,238,37278,0,0,0,0,0,1107967,0,1,0,13905,5929,6824,8,15,0,3,168,958,6277,6824,8,15,0,538,243,13905,2031,1787,1552,1030,13905,12947,5978,1527,1,3,0,1,2,0,3,-1,3,1,1,0,0,5,1440562079.29492,164341.807578968
434,Dougherty,Georgia,GA,13,13095,7.17901518637828,2381.55,170.97201977138,29.5,5.1,66.1834,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:24 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13095.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,2173,156,1546,1898,2001,3031,4845,691,405,50,9,91243,25104,1966,38806,0,0,120572,3026,0,1107967,13321,13,0,91049,23379,62701,175,834,6,69,1398,2487,24556,62847,194,849,38,1064,1501,91049,18450,14733,12205,5445,91049,88562,32340,7876,13,14,8,96,6,6,29,10,22,30,17,8,11,16,1196270165.00977,167047.978200994
435,Douglas,Georgia,GA,13,13097,2.6694045174538,1005.29,26.8352932271848,12.6,4.1,103.2029,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:24 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13097.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,1461,39,1312,1456,2713,4066,6038,108,102,8,10,145331,18113,3002,60512,0,0,120572,3026,0,1107967,15585,52,0,141840,59484,63998,141,2218,1,200,2427,13371,67261,65482,168,2253,1,3632,3043,141840,30458,20139,17636,5481,141840,128469,58022,10104,52,21,41,88,29,51,42,36,22,38,20,50,54,38,755320312.628906,125348.996934743
436,Early,Georgia,GA,13,13099,10.1307189542484,2986.24,302.527569044598,26.5,4.6,59.665,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:24 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13099.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,306,31,289,199,355,421,664,25,25,3,1,10247,2669,209,34984,0,0,120572,3026,0,1107967,1928,0,0,10348,4720,5266,9,57,0,3,64,229,4735,5315,9,57,0,151,81,10348,2094,1313,1109,843,10348,10119,3904,1085,0,0,10,6,0,3,6,6,0,2,6,3,4,0,1838929345.47852,227475.498818105
437,Echols,Georgia,GA,13,13101,0,4925,0,24.4,3.2,65.9464,0,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:19:07 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13101.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,197,0,0,0,0,0,0,0,0,0,0,4000,970,61,38667,0,0,0,0,0,1107967,0,0,0,3994,2687,143,82,0,0,12,86,984,2946,143,82,0,0,662,161,3994,681,481,453,288,3994,3010,1733,358,0,5,0,1,3,1,2,0,0,0,0,0,1,1,1479367909.56445,182482.919053853
438,Effingham,Georgia,GA,13,13103,0.3003003003003,535.46,1.60797555877151,8.3,3.3,112.2096,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:19:25 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13103.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,333,1,568,492,1223,1825,2411,25,25,4,2,62190,5080,989,65793,0,0,120572,3026,0,1107967,6519,49,0,58689,46190,7839,75,552,24,294,1232,2483,48093,7955,75,552,24,664,1326,58689,12899,7725,7908,2283,58689,56206,23638,4236,49,11,13,36,2,6,6,10,8,17,12,15,7,10,1758141171.375,237779.924001863
439,Elbert,Georgia,GA,13,13105,0,962.34,0,18.5,4.8,67.6758,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:46 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13105.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,184,0,409,409,815,1045,1112,25,52,4,2,19120,3476,378,39681,0,0,120572,3026,0,1107967,3790,11,0,19212,12188,5854,0,20,0,26,49,1075,13085,5889,0,42,0,106,90,19212,3557,2126,2305,1633,19212,18137,7434,2157,11,1,21,8,1,7,16,4,2,3,2,2,2,4,1418450084.33984,192396.378753845
440,Emanuel,Georgia,GA,13,13107,1.3953488372093,950.82,13.2672917035203,25.1,5.9,64.0823,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:19:07 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13107.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,215,3,264,320,814,936,1154,72,45,8,2,22612,5346,490,37574,0,0,120572,3026,0,1107967,3488,4,0,22499,13355,7694,11,4,0,12,420,1003,13935,7698,11,63,0,332,460,22499,4700,2967,3048,1398,22499,21496,8296,2090,4,2,19,9,3,2,26,4,7,9,10,2,2,10,2524682077.76172,276813.428528649
441,Evans,Georgia,GA,13,13109,0,531.67,0,26.6,3.7,63.6474,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:19:25 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13109.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,57,0,226,271,236,445,534,49,49,9,2,10721,2742,180,37319,0,0,120572,3026,0,1107967,1712,9,0,10727,6044,3256,1,91,0,12,67,1256,6291,3262,1,91,0,1011,71,10727,2416,1082,1550,733,10727,9471,3967,979,9,0,6,4,4,1,3,0,0,0,2,3,2,4,676191838.734375,116391.570420698
442,Fannin,Georgia,GA,13,13111,0.75187969924812,512.25,3.85148667385611,16.8,3.9,74.085,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:14:30 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13111.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,133,1,636,871,1173,1778,2499,50,50,5,2,25964,4318,442,43439,0,0,120572,3026,0,1107967,6957,5,0,24925,23700,79,26,165,28,38,324,565,24160,79,88,165,28,78,327,24925,3482,2354,2143,2680,24925,24360,9989,4277,5,5,2,6,3,3,2,0,0,3,3,0,4,3,1512728028.10156,222768.927303026
443,Fayette,Georgia,GA,13,13113,3.57142857142857,468.89,16.746137371209,5,3.5,162.0579,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:24 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13113.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,532,19,1888,1848,3294,5293,6766,282,221,66,8,113459,5689,2010,95021,0,0,120572,3026,0,1107967,19089,18,0,111369,70248,24241,136,4992,118,757,2896,7981,75542,24316,276,5034,118,2481,3602,111369,20147,15747,9698,7030,111369,103388,46688,12059,18,5,11,22,4,14,36,8,6,24,21,17,5,15,742995390.84375,131299.098823989
444,Floyd,Georgia,GA,13,13115,2.01342281879195,760.77,15.3175324476396,20.7,4.3,76.587,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:14:30 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13115.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,745,15,1922,1962,2810,4104,4838,514,435,42,18,97927,19427,1906,44906,0,0,120572,3026,0,1107967,15636,21,0,96824,68897,13781,159,1441,0,563,1561,10422,75735,13861,177,1540,0,3551,1960,96824,18760,13977,11998,6694,96824,86402,36453,8942,21,8,23,23,16,25,35,6,2,4,30,13,25,12,1970164700.50781,238809.283066595
445,Forsyth,Georgia,GA,13,13117,1.25733445096396,504.2,6.33949250249353,5,3.1,180.6477,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:24 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13117.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,1193,15,2003,2829,4378,6778,9033,304,304,24,7,236612,11808,3717,105921,0,0,120572,3026,0,1107967,25021,45,0,219880,161162,6915,307,25997,34,319,4271,20875,178874,7301,415,26049,95,2573,4573,219880,50908,26955,21581,9210,219880,199005,95415,15811,45,25,27,39,15,36,47,15,10,31,32,20,23,36,938343860.695313,147207.07943456
446,Franklin,Georgia,GA,13,13119,0.37593984962406,1155.37,4.34348260435217,16.4,3.8,73.1726,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:24 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13119.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,266,1,425,569,763,1191,1417,56,56,8,2,23023,3634,383,42904,0,0,120572,3026,0,1107967,4365,5,0,22514,18844,2150,16,196,0,0,305,1003,19338,2150,16,198,0,505,307,22514,4020,3129,2593,1757,22514,21511,8407,2608,5,11,2,9,5,10,7,0,0,16,3,1,4,6,1016525149.36328,151411.32485877
447,Fulton,Georgia,GA,13,13121,2.94223826714801,1055.12,31.0442485292073,13.5,4,120.7627,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:24 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13121.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,11080,326,12852,12404,18627,28686,40833,4682,3931,656,88,1050114,137929,22310,70808,0,0,120572,3026,0,1107967,113402,485,2,1021902,406755,445992,1612,69987,206,4238,18784,74328,458596,451053,3837,70225,321,15106,22764,1021902,191289,143950,170060,43883,1021902,947574,403201,69519,485,241,333,435,228,292,183,231,219,520,386,250,312,317,2008502839.17578,333540.400734115
448,Gilmer,Georgia,GA,13,13123,0.778210116731518,833.98,6.49013499480789,17.4,4.2,81.4493,0,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:14:30 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13123.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,257,2,0,0,0,0,0,0,0,0,0,30816,5309,507,47757,0,0,0,0,0,1107967,0,16,0,29922,25753,90,65,142,3,0,440,3429,27122,135,523,142,3,1403,594,29922,4719,3346,2791,2553,29922,26493,12077,4436,16,2,10,13,14,5,1,0,1,2,2,2,5,-1,1654562792.36719,201408.901788133
449,Glascock,Georgia,GA,13,13125,0,500.83,0,17.5,4.2,73.0293,0,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:19:07 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13125.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,15,0,0,0,0,0,0,0,0,0,0,2995,509,54,42820,0,0,0,0,0,1107967,0,0,0,3009,2628,275,15,0,2,0,40,49,2661,275,15,0,2,0,56,3009,537,410,264,217,3009,2960,1285,296,0,1,0,1,0,0,3,0,0,0,2,1,0,-1,535866383.21875,109807.278867768
450,Glynn,Georgia,GA,13,13127,0.629326620516048,1864.61,11.7344723594504,16.6,3.7,91.9364,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:19:25 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13127.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,1589,10,1907,1549,2852,4166,5320,401,401,12,8,85219,13913,1476,53906,0,0,120572,3026,0,1107967,15794,41,1,83974,53454,21778,350,1048,57,182,1527,5578,57000,21957,360,1076,57,1481,2043,83974,15652,10064,10134,6308,83974,78396,32330,9486,41,19,42,155,10,91,10,59,44,78,68,133,51,241,1556721778.5293,663473.593050357
451,Gordon,Georgia,GA,13,13129,3.26678765880218,955.19,31.2039525006501,16.8,3.8,83.7415,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:14:30 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13129.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,551,18,766,990,1350,2317,2607,69,69,8,2,57685,9526,1053,49101,0,0,120572,3026,0,1107967,8030,24,0,56790,44167,2219,7,595,14,35,889,8864,50658,2255,468,637,14,1793,965,56790,11629,7380,7129,3106,56790,47926,22622,4924,24,8,28,11,10,13,11,8,2,7,18,12,19,24,1368833342.84375,189665.806380583
452,Grady,Georgia,GA,13,13131,1.55038759689922,1042.51,16.1629222563439,20,3.9,69.9287,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:24 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13131.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,258,4,478,438,816,1147,1398,60,44,4,2,24748,4889,413,41002,0,0,120572,3026,0,1107967,4277,7,0,24926,14507,7039,124,141,83,0,258,2774,16529,7163,133,141,91,222,647,24926,5156,2821,3291,1732,24926,22152,9381,2545,7,0,3,6,0,5,5,3,8,2,8,3,16,3,1623388876.02344,167750.287162721
453,Greene,Georgia,GA,13,13133,8.33333333333333,678.04,56.5035597242626,19.3,4.2,92.124,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:19:07 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13133.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,120,10,266,455,935,1462,1596,50,50,8,4,17698,3365,297,54016,0,0,120572,3026,0,1107967,4714,3,0,16976,9676,6001,0,171,3,0,107,1018,9924,6028,0,171,3,678,172,16976,2764,1549,1798,1656,16976,15958,6151,3058,3,0,6,2,1,1,3,0,3,0,3,0,0,1,1520069946.5,193722.88540733
454,Gwinnett,Georgia,GA,13,13135,1.58241382259858,1260.1,19.940050507609,9.2,3.5,122.8093,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:24 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13135.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,11691,185,6634,8306,13852,21195,33455,848,854,70,23,927781,84763,17073,72008,0,0,120572,3026,0,1107967,83442,387,2,902298,345876,239090,1221,102668,219,4042,20574,188608,448155,245748,3509,102858,269,74969,26790,902298,203242,126217,120126,28792,902298,713690,369271,54650,387,230,333,326,178,265,185,142,163,397,466,257,280,327,1648438482.69531,189577.787369577
455,Habersham,Georgia,GA,13,13137,5.3177691309987,1698.69,90.3322464087424,14.9,3.7,88.3941,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:14:30 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13137.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,771,41,686,1170,1442,2120,2649,53,53,4,2,45388,6363,715,51829,0,0,120572,3026,0,1107967,8067,10,0,44289,34298,1351,40,907,86,293,913,6401,38359,1358,45,907,248,2414,958,44289,8278,6385,4830,3298,44289,37888,16729,4769,10,2,8,11,2,9,12,0,3,4,5,6,21,12,1069196345.26953,181566.243617291
456,Hall,Georgia,GA,13,13139,1.65203923593185,1916.42,31.6599719017749,13.2,3.2,105.1114,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:18:24 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13139.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,3874,64,2658,3454,5107,7722,8817,657,542,85,20,202148,26249,3235,61631,0,0,120572,3026,0,1107967,27758,61,1,195961,119773,14079,297,3327,15,197,3120,55153,166426,14540,472,3348,35,6857,4283,195961,42221,26624,25407,11219,195961,140808,73951,16539,61,39,61,93,47,98,56,15,9,38,47,58,65,49,1634044443.80859,205668.681781133
457,Hancock,Georgia,GA,13,13141,14.0425531914894,2815.05,395.30426449449,30.7,6,54.0915,0,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:19:07 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13141.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,235,33,0,0,0,0,0,0,0,0,0,8348,2187,149,31716,0,0,0,0,0,1107967,0,7,0,8535,2068,6170,0,74,14,0,45,164,2094,6178,0,74,14,122,53,8535,998,849,1291,725,8535,8371,3553,1119,7,1,1,1,1,2,2,0,0,1,2,0,5,2,1775194982.95703,209314.706994486
458,Haralson,Georgia,GA,13,13143,4.3859649122807,386.01,16.9302136592964,15.9,3.9,81.2873,2.50970374547988,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 9:14:30 PM,GA Governor issued Shelter In Place,https://bao.arcgis.com/covid-19/jhu/county/13143.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,114,5,501,372,922,1191,1536,25,15,3,2,29533,4626,482,47662,0,0,120572,3026,0,1107967,4522,6,0,28956,26366,1347,91,219,0,56,422,455,26752,1347,91,219,0,56,491,28956,5797,3456,3553,1795,28956,28501,11628,2727,6,3,0,4,6,8,0,2,2,0,4,3,3,5,1065188236.5,135872.675100689
